Number,Trench,Level,Layer,General Unit,gou, Original Type,Gtype,Type,xold,yold,x,y,z,Altitude,Orientation_old,Orientation,Dip,Degree,max,Length,Width,Thickness,Weight,lwratio,Lgroup,Wgroup,New category,Technological category,Rock type,Row material,Weathering,Rounddegree,Roundness
TOK1404,TOK,18,,,,S,S,S,104.02,102.74,808.1237206,629.7094518,0.93806,938.06,140,140,,0,54,54,29,26,36,1.862068966,l,m,DP,Chunk,Chert,C,0,R0,0
TOK1405,TOK,18,,,,S,S,S,104.72,103.03,808.1244432,629.709224,0.938028,938.028,65,65,,0,27,27,18,11,4,1.5,m,m,DP,BPF,Chert,C,2,R0,0
TOK1406,TOK,18,,,,S,S,S,104.21,102.88,808.1239561,629.7094369,0.938065,938.065,115,115,115,27,49,49,35,27,39,1.4,m,m,DP,Chunk,Dolomite,SD,1,R1,1
TOK1407,TOK,18,,,,B,B,B,104.03,101.9,808.1231883,629.7088019,0.938077,938.077,5,5,5,26,,,,,,,,,B,,,,,,
TOK1408,TOK,18,,,,B,B,B,103.56,104.59,808.1245574,629.7111646,0.938006,938.006,38,38,218,10,,,,,,,,,B,,,,,,
TOK1409,TOK,18,,,,S,S,S,103.97,104.37,808.1247301,629.7107325,0.938033,938.033,338,158,338,26,32,32,30,10,9,1.066666667,m,m,DP,BP,Chert,C,0,R0,0
TOK1410,TOK,18,,,,B,B,B,103.86,104.2,808.1245365,629.710673,0.938027,938.027,5,5,5,13,,,,,,,,,B,,,,,,
TOK1411,TOK,18,,,,B,B,B,103.58,104.3,808.1243863,629.7109296,0.937997,937.997,0,0.5,,0,,,,,,,,,B,,,,,,
TOK1412,TOK,18,,,,B,B,B,103.59,102.67,808.1233462,629.7096746,0.938022,938.022,38,38,305,45,,,,,,,,,B,,,,,,
TOK1413,TOK,18,,,,S,S,S,103.5,102,808.1228466,629.7092192,0.93801,938.01,15,15,,0,34,34,32,8,10,1.0625,m,m,DP,BPF,Chert,C,0,R0,0
TOK1414,TOK,18,,,,S,S,S,103.42,101.95,808.1227532,629.7092323,0.938083,938.083,340,160,,,117,117,91,87,115,1.285714286,l,l,FP,Core,Brecciated chert,BC,0,R0,0
TOK1415,TOK,18,,,,S,S,S,103.69,100.9,808.1222851,629.7082545,0.938039,938.039,20,20,,0,53,53,23,19,16,2.304347826,l,m,DP,Chunk,Chert,C,0,R0,0
TOK1416,TOK,18,,,,S,S,U,103.75,100.88,808.1223182,629.7082006,0.938032,938.032,120,120,,0,39,39,29,13,14,1.344827586,m,m,UN,UN,Silicious dolomite,SD,,,
TOK1417,TOK,18,,,,S,S,S,101.96,103.72,808.1227726,629.7115266,0.937993,937.993,350,170,,0,28,28,20,10,6,1.4,m,m,DP,BPF,Chert,C,1,R1,1
